x,y,s1,s2,s3,s4,s5
0,0,-62.8,-53.0,-60.6,-47.2,N/A
0,1,-61.0,-56.0,-52.8,-48.2,N/A
0,2,-54.6,-60.2,-54.6,-47.4,N/A
0,3,-55.0,-56.4,-53.8,-44.4,N/A
0,4,-47.4,-53.6,-57.2,-46.2,N/A
0,5,-49.2,-53.2,-51.8,-44.2,N/A
0,6,-53.0,-54.2,-52.8,-45.8,N/A
0,7,-49.6,-61.8,-50.8,-45.8,N/A
0,8,-58.4,-54.2,-52.8,-41.2,N/A
0,9,-51.0,-56.5,-52.5,-42.0,N/A
1,9,-52.6,-53.6,-46.0,-45.8,N/A
1,8,-49.0,-46.5,-39.0,-46.5,N/A
1,7,-47.8,-46.4,-42.8,-47.2,N/A
