x,y,s1,s2,s3
4,13,-51.333333333333336,-50.666666666666664,-50.0
4,14,-53,-48,-43
5,14,-54.666666666666664,-51.0,-40.666666666666664
5,13,-55.0,-39.0,-48.666666666666664
5,12,-63.0,-38.666666666666664,-52.0
5,11,-56.333333333333336,-38.0,-62.0
5,10,-56.0,-47.666666666666664,-52.0
5,9,-54.666666666666664,-55.333333333333336,-55.0
5,8,-52.666666666666664,-49.666666666666664,-50.666666666666664
5,7,-50.666666666666664,-50.666666666666664,-47.333333333333336
5,6,-51.333333333333336,-47.333333333333336,-52.0
5,5,-45.333333333333336,-62.0,-57.666666666666664
5,4,-46.666666666666664,-47.666666666666664,-51.0
5,3,-47.666666666666664,-56.0,-54.333333333333336
5,2,-46.0,-52.333333333333336,-53.333333333333336
5,1,-59.333333333333336,-54.0,-47.333333333333336
5,0,-33,-58,-59
6,0,-38.333333333333336,-55.333333333333336,-46.0
6,1,-35.333333333333336,-53.666666666666664,-49.666666666666664
6,2,-47.0,-53.333333333333336,-50.333333333333336
6,3,-42.666666666666664,-57.666666666666664,-53.333333333333336
6,4,-45.0,-53.0,-47.0
6,5,-49.666666666666664,-58.0,-45.666666666666664
6,6,-54.666666666666664,-50.0,-52.333333333333336
6,7,-54.666666666666664,-54.666666666666664,-48.666666666666664
6,8,-55.666666666666664,-45.0,-52.666666666666664
6,9,-49.0,-49.666666666666664,-50.333333333333336
6,10,-54.666666666666664,-30.333333333333332,-50.666666666666664
6,11,-55.666666666666664,-48.333333333333336,-46.333333333333336
6,12,-51.333333333333336,-50.666666666666664,-40.333333333333336
6,13,-56.333333333333336,-50.0,-50.666666666666664
6,14,-53,-53,-43
7,14,-58.0,-58.0,-46.0
7,13,-57.0,-57.0,-44.666666666666664
7,12,-56.0,-56.666666666666664,-46.333333333333336
7,11,-57.0,-56.666666666666664,-45.666666666666664
